project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
Infantas,Infantas,,,oil_and_gas_extraction_area,Ecopetrol S.A.;Occidental Petroleum Corporation,Ecopetrol S.A.;Occidental Petroleum Corporation,,Colombia,operating,operating,1921,,3.02,million boe/y,point,6.949,-73.77,,https://www.gem.wiki/Infantas_Oil_and_Gas_Field_%28Santander%2C_Colombia%29,https://www.gem.wiki/Infantas_Oil_and_Gas_Field_%28Santander%2C_Colombia%29
La Cira,La Cira,,,oil_and_gas_extraction_area,Ecopetrol S.A.;Occidental Petroleum Corporation,Ecopetrol S.A.;Occidental Petroleum Corporation,,Colombia,operating,operating,1921,,7.39,million boe/y,point,6.949,-73.77,,https://www.gem.wiki/La_Cira_Oil_and_Gas_Field_%28Santander%2C_Colombia%29,https://www.gem.wiki/La_Cira_Oil_and_Gas_Field_%28Santander%2C_Colombia%29
Candeias,Candeias,,,oil_and_gas_extraction_area,3R Candeias (100%),3R Petroleum (100%),,Brazil,operating,operating,1941,,,,point,-12.715,-38.542,,https://www.gem.wiki/Candeias_Oil_and_Gas_Field_%28Bahia%2C_Brazil%29,https://www.gem.wiki/Candeias_Oil_and_Gas_Field_%28Bahia%2C_Brazil%29
Boscán,Boscán,,,oil_and_gas_extraction_area,PDVSA (60%);Chevron (39.2%);NEMAKA (0.8%),PDVSA (60%);Chevron (39.2%);NEMAKA (0.8%),,Venezuela,operating,operating,1948,,4.81,million boe/y,point,10.523,-71.955,,https://www.gem.wiki/Bosc%C3%A1n_Oil_and_Gas_Field_%28Venezuela%29,https://www.gem.wiki/Bosc%C3%A1n_Oil_and_Gas_Field_%28Venezuela%29
Anaco-Barquisimeto Gas Pipeline,Gasoducto Anaco-Barquisimeto,,,gas_pipeline,,PDVSA [100.00%],,Venezuela,operating,operating,195,10,,bcm/y,line,nan,nan,"9.309778,-64.7002:9.450335,-65.0226:9.550169,-65.2326:9.594531,-65.4463:9.624102,-65.66:9.701714,-65.8774:9.764529,-66.0199:9.805168,-66.1024:9.816251,-66.3685:9.91967,-66.496:10.0895,-66.6422:10.11903,-66.7997:10.14855,-66.9796:10.21497,-67.2121:10.25187,-67.407:10.24449,-67.5382:10.21128,-67.6919:10.23711,-67.9281:10.2408,-68.1231:10.38096,-68.2093:10.51,-68.2093:10.4842,-68.303:10.36621,-68.5504:10.274,-68.7904:10.17807,-69.0416:10.09319,-69.274:10.06735,-69.379",https://www.gem.wiki/Anaco-Barquisimeto_Gas_Pipeline,https://www.gem.wiki/Anaco-Barquisimeto_Gas_Pipeline
Yucal Placer,Yucal Placer,,,oil_and_gas_extraction_area,TotalEnergies (69.5%);Repsol;Inepetrol;Otepi,TotalEnergies (69.5%);Repsol SA;Inepetrol;Otepi S.A.,,Venezuela,operating,operating,1950,,6.08,million boe/y,point,9.5405,-66.071,,https://www.gem.wiki/Yucal_Placer_Gas_Field_%28Venezuela%29,https://www.gem.wiki/Yucal_Placer_Gas_Field_%28Venezuela%29
Anaco-Puerto La Cruz Gas Pipeline,Gasoducto Anaco-Puerto La Cruz,,,gas_pipeline,,PDVSA [100.00%],,Venezuela,operating,proposed_plus,1951,600,,MMcf/d,line,nan,nan,"9.438540541959688,-64.47240834464472:10.237454813676568,-64.62770843151294",https://www.gem.wiki/Anaco-Puerto_La_Cruz_Gas_Pipeline,https://www.gem.wiki/Anaco-Puerto_La_Cruz_Gas_Pipeline
Água Grande,Água Grande,,,oil_and_gas_extraction_area,3R Rio Ventura (100%),3R Petroleum (100%),,Brazil,operating,proposed_plus,1951,,,,point,-12.371,-38.344,,https://www.gem.wiki/%C3%81gua_Grande_Oil_and_Gas_Field_%28Bahia%2C_Brazil%29,https://www.gem.wiki/%C3%81gua_Grande_Oil_and_Gas_Field_%28Bahia%2C_Brazil%29
Velásquez-Galán Oil Pipeline,Oleoducto Velásquez-Galán,,,oil_pipeline,,Oil and Natural Gas Corporation Limited [50.00%]; Sinopec [50.00%],,Colombia,operating,proposed_plus,1954,50000,,bpd,line,nan,nan,"6.011879,-74.491033:6.131,-74.477:6.271475,-74.497391:6.516259,-74.387303:6.65247,-74.057026:6.812045,-73.884583:7.074531,-73.885731",https://www.gem.wiki/Vel%C3%A1squez-Gal%C3%A1n_Oil_Pipeline,https://www.gem.wiki/Vel%C3%A1squez-Gal%C3%A1n_Oil_Pipeline
Camiri-Yacuiba Oil Pipeline,Oleoducto Camiri-Yacuiba,,,oil_pipeline,,YPFB [98.55%]; Other [1.45%],,Bolivia,operating,proposed_plus,1955,12000,,bpd,line,nan,nan,"-22.040244,-63.678315:-21.985565,-63.65022:-21.950515,-63.6343633:-21.918968,-63.631169:-21.827836,-63.585603:-21.719178,-63.519006:-21.624541,-63.469935:-21.508872,-63.426843:-21.452791,-63.412308:-21.354648,-63.404782:-21.291557,-63.410348:-21.268097,-63.449991:-21.245991,-63.449338:-21.196919,-63.418287:-21.095272,-63.383236:-21.028675,-63.349216:-20.980422,-63.320193:-20.888471,-63.298185:-20.786823,-63.284165:-20.65363,-63.291175:-20.527447,-63.29468:-20.443217,-63.280607:-20.397758,-63.301691:-20.362707,-63.375298:-20.324151,-63.431379:-20.2891,-63.439935:-20.263579,-63.448087:-20.243534,-63.454471:-20.173432,-63.486016:-20.124361,-63.506532:-20.071785,-63.519522:-20.01477,-63.533754",https://www.gem.wiki/Camiri-Yacuiba_Oil_Pipeline,https://www.gem.wiki/Camiri-Yacuiba_Oil_Pipeline
