project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
Amistad-Valvula de Playa Gas Pipeline,Gasoducto Amistad,,,gas_pipeline,,EP Petroecuador [100.00%],,Ecuador,operating,operating,,1.19,,bcm/y,line,nan,nan,"-3.282639,-80.518599:-3.11629,-79.880048",https://www.gem.wiki/Amistad-Valvula_de_Playa_gas_pipeline,operating
Anaco-Barquisimeto Gas Pipeline,Gasoducto Anaco-Barquisimeto,,,gas_pipeline,,PDVSA [100.00%],,Venezuela,operating,operating,195,10,,bcm/y,line,nan,nan,"9.309778,-64.7002:9.450335,-65.0226:9.550169,-65.2326:9.594531,-65.4463:9.624102,-65.66:9.701714,-65.8774:9.764529,-66.0199:9.805168,-66.1024:9.816251,-66.3685:9.91967,-66.496:10.0895,-66.6422:10.11903,-66.7997:10.14855,-66.9796:10.21497,-67.2121:10.25187,-67.407:10.24449,-67.5382:10.21128,-67.6919:10.23711,-67.9281:10.2408,-68.1231:10.38096,-68.2093:10.51,-68.2093:10.4842,-68.303:10.36621,-68.5504:10.274,-68.7904:10.17807,-69.0416:10.09319,-69.274:10.06735,-69.379",https://www.gem.wiki/Anaco-Barquisimeto_Gas_Pipeline,operating
Anaco-Puerto La Cruz Gas Pipeline,Gasoducto Anaco-Puerto La Cruz,,,gas_pipeline,,PDVSA [100.00%],,Venezuela,operating,operating,1951,600,,MMcf/d,line,nan,nan,"9.438540541959688,-64.47240834464472:10.237454813676568,-64.62770843151294",https://www.gem.wiki/Anaco-Puerto_La_Cruz_Gas_Pipeline,operating
Anaco-Puerto Ordaz Gas Pipeline,Gasoducto Anaco-Puerto Ordaz,,,gas_pipeline,,PDVSA [100.00%],,Venezuela,operating,operating,197,615,,MMcf/d,line,nan,nan,"8.214898,-62.9879:8.348454,-63.1003:8.487527,-63.2109:8.583921,-63.3759:8.68029,-63.569:8.797013,-63.7283:8.891475,-63.8726:9.035901,-64.0601:9.148808,-64.2325:9.237628,-64.3581:9.298679,-64.51:9.35787,-64.7321",https://www.gem.wiki/Anaco-Puerto_Ordaz_Gas_Pipeline,operating
Angelin Gas Pipeline,Gasoducto Angelin,,,gas_pipeline,,BP [70.00%]; Repsol [30.00%],,Trinidad and Tobago,operating,operating,2,600,,MMcf/d,line,nan,nan,"10.393,-60.589:10.449,-60.44",https://www.gem.wiki/Angelin_Gas_Pipeline,operating
Atacama Gas Pipeline,Gasoducto Atacama,,,gas_pipeline,,Enel SpA [97.40%]; Other [2.60%],,"Argentina, Chile",operating,operating,1999,1.97,,bcm/y,line,nan,nan,"-23.0898,-70.4168:-22.488234,-68.9240217:-22.911324,-68.2018837:-23.416428,-66.4855217:-23.401436,-66.367099:-23.652523,-65.858674:-23.746104,-65.5011087:-24.505272,-65.071587:-24.210629,-64.8689977:-23.783594,-64.8102907:-23.397074,-64.1532197:-22.505585,-63.7952337",https://www.gem.wiki/Atacama_Gas_Pipeline,operating
Bilac-Santa Maria Gas Pipeline,Gasoduto Bilac-Santa Maria,,,gas_pipeline,,Unknown [unknown %],,Brazil,proposed,proposed_plus,,2.92,,bcm/y,line,nan,nan,"-21.380376,-50.457993:-22.175128,-51.254757:-22.752267,-51.380495:-23.553994,-51.45847:-25.370834,-51.479613:-27.009712,-51.149765:-27.175009,-51.50551:-27.644826,-52.268614:-28.266023,-52.405828:-28.642413,-53.608673:-29.692189,-53.817753",https://www.gem.wiki/Bilac-Santa_Maria_Gas_Pipeline,proposed_plus
Bolivia–Paraguay Gas Pipeline,Gasoducto Bolivia–Paraguay,,,gas_pipeline,,Petróleos Paraguayos [unknown %]; YPFB [unknown %],,"Bolivia, Paraguay",proposed,proposed_plus,2,212,,MMcf/d,line,nan,nan,"-21.266898,-63.475377:-22.030071,-60.599866:-25.276954,-57.579276",https://www.gem.wiki/Bolivia%E2%80%93Paraguay_Gas_Pipeline,proposed_plus
Bolivia–Peru Gas Pipeline,Gasoducto Bolivia–Perú,,,gas_pipeline,,YPFB [100.00%],,"Bolivia, Peru",proposed,proposed_plus,,353,,MMcf/d,line,nan,nan,"-18.193691,-62.908466:-17.440260680712385,-69.47100395339923:-17.7759701,-71.1892805:-17.647268,-71.347902",https://www.gem.wiki/Bolivia%E2%80%93Peru_Gas_Pipeline,proposed_plus
Buenaventura-Yumbo Gas Pipeline,Gasoducto Buenaventura-Yumbo,,,gas_pipeline,,Unknown [unknown %],,Colombia,proposed,proposed_plus,2,400,,MMcf/d,line,nan,nan,"3.90657,-77.075801:3.92063765,-77.07086477:3.9272733,-77.06844614:3.92787654,-77.05332968:3.93511536,-77.04063186:3.9550218,-77.0327713:3.93571859,-76.97049151:3.87599647,-76.95416574:3.87117026,-76.89067663:3.86151775,-76.87979278:3.8699637,-76.86588564:3.84522888,-76.86528099:3.85789803,-76.82295491:3.79756709,-76.7957453:3.78308704,-76.77034965:3.73421508,-76.76188444:3.73542183,-76.74495401:3.75171276,-76.73286085:3.73783532,-76.72741892:3.74205891,-76.71411644:3.74990267,-76.70867452:3.72335427,-76.69537204:3.71551027,-76.66513913:3.61775617,-76.66151118:3.59422119,-76.64337143:3.60689394,-76.59197549:3.56585771,-76.5369516:3.56585771,-76.50974198:3.54714941,-76.49220689:3.545451,-76.490478",https://www.gem.wiki/Buenaventura-Yumbo_Gas_Pipeline,proposed_plus
Camisea Gas Pipeline,Gasoducto Camisea,,,gas_pipeline,,CPPIB (Canada Pension Plan Investment Board) [49.87%]; Enagás [28.95%]; Sonatrach [21.18%],,Peru,operating,operating,2,1540,,MMcf/d,line,nan,nan,"-11.840021,-72.945592:-12.4531,-73.085592:-13.074056,-73.777426:-13.242198,-74.354277:-13.603694,-75.353228:-13.723529,-75.91352:-13.441077,-76.082875:-13.079111,-76.38869:-12.856877374874253,-76.50865851341138:-12.294181,-76.830946",https://www.gem.wiki/Camisea_Gas_Pipeline,operating
Carmópolis-Pilar Gas Pipeline,Gasoduto Carmópolis-Pilar,,,gas_pipeline,,Engie [65.00%]; Caisse de dépôt et placement du Québec [35.00%],,Brazil,operating,operating,2,5.48,,bcm/y,line,nan,nan,"-10.643681578279114,-36.97499061073564:-9.6062,-35.906715",https://www.gem.wiki/Carm%C3%B3polis-Pilar_Gas_Pipeline,operating
Carrasco-Cochabamba Gas Pipeline,Gasoducto Carrasco-Cochabamba,,,gas_pipeline,,YPFB [98.55%]; Other [1.45%],,Bolivia,operating,operating,2,120,,MMcf/d,line,nan,nan,"-17.526,-64.4858:-17.4506,-64.4716:-17.413,-64.4621:-17.3662,-64.5111:-17.3044,-64.5837:-17.2531,-64.6517:-17.2275,-64.7022:-17.2214,-64.8144:-17.1958,-64.8523:-17.1218,-64.9107:-17.0327,-64.9534:-16.9723,-65.0166:-16.9587,-65.1224:-16.9723,-65.2851:-16.9874,-65.4004:-16.9753,-65.4478:-16.9693,-65.4684:-17.0131,-65.5063:-17.0569,-65.5489:-17.0675,-65.6153:-17.0675,-65.7338:-17.0871,-65.8191:-17.1339,-65.8522:-17.1762,-65.8965:-17.2018,-65.9644:-17.226,-66.0134:-17.3044,-66.0355:-17.3979,-66.0292:-17.4702,-66.0292:-17.5305,-66.056",https://www.gem.wiki/Carrasco-Cochabamba_Gas_Pipeline,operating
Carrasco-Yapacaní Gas Pipeline,Gasoducto Carrasco-Yapacaní,,,gas_pipeline,,YPFB [98.55%]; Other [1.45%],,Bolivia,operating,operating,1995,133,,MMcf/d,line,nan,nan,"-17.240824459892632,-64.54207682976865:-17.403403918663763,-63.88223267112482",https://www.gem.wiki/Carrasco-Yapacan%C3%AD_Gas_Pipeline,operating
